categories;algorithm;update;query;radius;ratio;memory
1;JONES;6250,21;171397153,8;8,337315336;1;10000
1;CHEN;4662,225;15735908703;8,595466996;1,032360267;10000
1;PELLCAPPDELTA05;95597,665;3905587,89;8,126947483;0,976097187;3856,37
1;PELLCAPPDELTA20;42402,88;395924,265;9,15655583;1,099722309;1176,12
1;CAPPDELTA05;63909,64;3784210;8,126947483;0,976097187;4168,29
1;CAPPDELTA20;43822,595;384539,965;9,15655583;1,099722309;1519,585
2;JONES;4132,09;168521772,4;8,354362332;1;10000
2;CHEN;3499,985;15738525841;9,088987177;1,090417469;10000
2;PELLCAPPDELTA05;71055,11;3291482,68;8,360084609;1,00257044;3613,095
2;PELLCAPPDELTA20;30904,11;492045,245;9,713689446;1,164917591;1125,025
2;CAPPDELTA05;53388,46;3197893,79;8,360084609;1,00257044;3925,38
2;CAPPDELTA20;36430,705;479745,88;9,713689446;1,164917591;1468,68
3;JONES;4236,985;168827580,6;8,569854524;1;10000
3;CHEN;3368,04;15761157664;9,135473359;1,069042383;10000
3;PELLCAPPDELTA05;76571,015;3156666,83;8,944985545;1,04627116;3464,245
3;PELLCAPPDELTA20;31162,275;464493,865;8,325544443;0,973913848;1088,31
3;CAPPDELTA05;59877,215;3070983,43;8,944985545;1,04627116;3776,55
3;CAPPDELTA20;37869,42;448874,42;8,325544443;0,973913848;1431,975
4;JONES;4622,245;151682946,8;8,538713719;1;10000
4;CHEN;3356,6;15517146883;9,125246102;1,0722038;10000
4;PELLCAPPDELTA05;85542,955;3084500,075;8,881108104;1,043131683;3421,2
4;PELLCAPPDELTA20;30773,445;628493,47;9,196602037;1,080123438;1076,14
4;CAPPDELTA05;56226,595;2996046,905;8,881108104;1,043131683;3733,515
4;CAPPDELTA20;38558,23;617159,29;9,196602037;1,080123438;1419,81
5;JONES;4693,975;170031508;8,727209545;1;10000
5;CHEN;3216,535;15850875010;9,127928192;1,05059733;10000
5;PELLCAPPDELTA05;81782,795;3100953,355;8,69895038;1,001059132;3311,06
5;PELLCAPPDELTA20;30455,15;513592,565;8,831531636;1,016242839;1045,075
5;CAPPDELTA05;61325,945;2983105,33;8,69895038;1,001059132;3623,425
5;CAPPDELTA20;36751,855;505781,305;8,831531636;1,016242839;1388,77
6;JONES;4445,085;168809572,6;9,343534402;1;10000
6;CHEN;4325,03;15940924918;9,50988423;1,02180184;10000
6;PELLCAPPDELTA05;82939,66;3027053,015;9,089093432;0,976668385;3192,275
6;PELLCAPPDELTA20;32329,885;451560,355;10,27907122;1,104905672;1023,59
6;CAPPDELTA05;67468,48;2968680,245;9,089093432;0,976668385;3504,75
6;CAPPDELTA20;41074;449509,44;10,27907122;1,104905672;1367,385
7;JONES;4275,47;149348736,5;9,295838771;1;10000
7;CHEN;4671,3;15910833293;9,404855031;1,015775817;10000
7;PELLCAPPDELTA05;86402,775;2986897,385;9,207416942;0,994795408;3153,2
7;PELLCAPPDELTA20;32321,715;430371,02;10,44594767;1,128691377;1015,445
7;CAPPDELTA05;59833,755;2897735,575;9,207416942;0,994795408;3465,815
7;CAPPDELTA20;40326,92;424970,28;10,44594767;1,128691377;1359,32
