dataset;type;algorithm;update;query;radius;ratio;memory
beers;rand;JONES;4885,805;174425278,6;2,609941903;1;10000
beers;rand;CHEN;3948,825;6723959861;3,041224665;1,169163921;10000
beers;rand;PELLCAPPDELTA05;236430,895;12657303,17;2,52936999;0,973397313;8732,06
beers;rand;PELLCAPPDELTA10;111938,715;3208524,875;2,62341765;1,009583294;4998,485
beers;rand;PELLCAPPDELTA15;67803,38;7199187,455;2,749514769;1,058509991;3097,295
beers;rand;PELLCAPPDELTA20;55649,04;6138100,51;3,40576504;1,310834921;2106,58
beers;rand;PELLCAPPDELTA25;50495,095;21640372,32;3,355921762;1,290713682;1593,225
beers;rand;PELLCAPPDELTA30;47598,77;17207076,32;3,236758741;1,246459916;1212,865
beers;rand;PELLCAPPDELTA35;47309,865;14694260,37;3,268964007;1,257098326;1032,105
beers;rand;PELLCAPPDELTA40;45995,525;10498468,56;3,743839556;1,440566895;898,43
beers;rand;CAPPDELTA05;106562,585;12576252,11;2,52936999;0,973397313;8297,53
beers;rand;CAPPDELTA10;49003,545;3168645,28;2,62341765;1,009583294;4593,53
beers;rand;CAPPDELTA15;34514,985;7129004,93;2,749514769;1,058509991;2692,34
beers;rand;CAPPDELTA20;24597,8;6097668,61;3,40576504;1,310834921;1701,625
beers;rand;CAPPDELTA25;19907,915;21590555,53;3,355921762;1,290713682;1188,27
beers;rand;CAPPDELTA30;16961,9;17173724,07;3,236758741;1,246459916;837,485
beers;rand;CAPPDELTA35;15290,445;14687889,13;3,268964007;1,257098326;656,725
beers;rand;CAPPDELTA40;14449,21;10518285,25;3,743839556;1,440566895;523,05
