type;algorithm;update;query;radius;ratio;memory
rand;JONES;10194,72;1260266834;2,282142344;1;30000
rand;CHEN;8452,735;51666797972;2,47372453;1,086663054;30000
rand;PELLCAPPDELTA05;698635,055;76385165,06;2,291973537;1,006953964;29506,99
rand;PELLCAPPDELTA10;289469,035;14895465,96;2,320042585;1,019322486;18608,5
rand;PELLCAPPDELTA15;185428,63;5389095,415;2,405965423;1,057081993;11383,725
rand;PELLCAPPDELTA20;134509,78;2659355,615;3,224439078;1,417030255;7220,19
rand;PELLCAPPDELTA25;133386,87;1942315,135;2,781653605;1,221806481;5442,15
rand;PELLCAPPDELTA30;119731,23;2261563,8;3,321096212;1,459197997;4004,115
rand;PELLCAPPDELTA35;114112,395;2247659,325;3,40768177;1,496803832;3231,225
rand;PELLCAPPDELTA40;112457,73;2172524,55;3,456167059;1,517665729;2816,615
rand;CAPPDELTA05;475727,155;75855232,14;2,291973537;1,006953964;28221,705
rand;CAPPDELTA10;202943,225;14892176,9;2,320042585;1,019322486;17382,95
rand;CAPPDELTA15;95530,985;5349639,665;2,405965423;1,057081993;10158,175
rand;CAPPDELTA20;52871,4;2621628,62;3,224439078;1,417030255;5994,64
rand;CAPPDELTA25;41194,22;1924346,31;2,781653605;1,221806481;4216,6
rand;CAPPDELTA30;33661,63;2245310,645;3,321096212;1,459197997;2838,3
rand;CAPPDELTA35;31692,795;2224207,47;3,40768177;1,496803832;2065,41
rand;CAPPDELTA40;28102,255;2146978,29;3,456167059;1,517665729;1650,8
