type;algorithm;update;query;radius;ratio;memory
rand;JONES;10879,59;2563849836;7,708665427;1;30000
rand;CHEN;10980,77;1,75053E+11;8,587311289;1,11939756;30000
rand;PELLCAPPDELTA05;409352,205;16845776,22;7,835086123;1,021113882;22440,075
rand;PELLCAPPDELTA10;111209,585;4508881,675;7,488479031;0,975548748;10024,14
rand;PELLCAPPDELTA15;80331,58;2574360,975;7,585027596;0,988430631;6096,29
rand;PELLCAPPDELTA20;66373,97;1669514,04;9,117484615;1,18847939;4238,295
rand;PELLCAPPDELTA25;62211,7;1462395;10,14715232;1,322168607;3216,27
rand;PELLCAPPDELTA30;58897,17;1347193,895;12,32774965;1,605628998;2681,07
rand;PELLCAPPDELTA35;53790;1238256,99;12,05525713;1,570821387;2267,115
rand;PELLCAPPDELTA40;54369,09;944994,03;12,29823174;1,602420036;1942,135
rand;CAPPDELTA05;186269,885;16808607,98;7,835086123;1,021113882;23039,71
rand;CAPPDELTA10;114804,095;4503578,56;7,488479031;0,975548748;10685,125
rand;CAPPDELTA15;97015,515;2573545,05;7,585027596;0,988430631;6757,275
rand;CAPPDELTA20;83490,135;1667783,77;9,117484615;1,18847939;4899,28
rand;CAPPDELTA25;81463,13;1452795,42;10,14715232;1,322168607;3877,255
rand;CAPPDELTA30;79059,345;1331393,945;12,32774965;1,605628998;3403,405
rand;CAPPDELTA35;73213,045;1234224,25;12,05525713;1,570821387;2989,45
rand;CAPPDELTA40;72670,27;931886,825;12,29823174;1,602420036;2664,335
