type;algorithm;update;query;radius;ratio;memory
rand;JONES;6771,395;1463834353;0,121060802;1;30000
rand;CHEN;4924,965;1,16241E+11;0,116877592;0,973628158;30000
rand;PELLCAPPDELTA05;205549,56;5133387,87;0,14033319;1,168255006;8767,44
rand;PELLCAPPDELTA10;92926,12;2870868,79;0,11638397;0,970321304;5750,305
rand;PELLCAPPDELTA15;73226,27;2248660,975;0,112127217;0,935687427;4630,59
rand;PELLCAPPDELTA20;64051,33;1941788,31;0,119377328;0,995296519;3807,54
rand;PELLCAPPDELTA25;61505,805;1761041,685;0,117933725;0,982926936;3475,74
rand;PELLCAPPDELTA30;57945,19;1602830,125;0,123763101;1,031941478;3160,715
rand;PELLCAPPDELTA35;54732,475;1609910,165;0,182318136;1,514561069;2960,505
rand;PELLCAPPDELTA40;55578,145;1563057,08;0,155781876;1,299130389;2763,59
rand;CAPPDELTA05;84398,06;5041149,075;0,14033319;1,168255006;8515,84
rand;CAPPDELTA10;59319,92;2844451,515;0,11638397;0,970321304;5559,89
rand;CAPPDELTA15;54951,535;2236598,64;0,112127217;0,935687427;4440,175
rand;CAPPDELTA20;50346,605;1938128,69;0,119377328;0,995296519;3617,12
rand;CAPPDELTA25;43030,84;1753082,605;0,117933725;0,982926936;3285,32
rand;CAPPDELTA30;45296,74;1601975,705;0,123763101;1,031941478;3031,475
rand;CAPPDELTA35;43993,395;1603940,855;0,182318136;1,514561069;2831,265
rand;CAPPDELTA40;36798,135;1552349,315;0,155781876;1,299130389;2634,265
