dataset;algorithm;update;query;radius;ratio;memory
twitter;JONES;22444,42;1318485510;1,333061516;1;10000
twitter;CHEN;18717,845;200196000000;1,342044779;1,006765457;10000
twitter;PELLCAPPDELTA05;32107261,77;890585856,1;1,328158794;0,996346746;34135,8
twitter;PELLCAPPDELTA10;17043416,08;1215418899;1,334564203;1,001152793;17241,045
twitter;PELLCAPPDELTA15;16448079,98;1213328705;1,336724696;1,002774037;16870,6
twitter;PELLCAPPDELTA20;8062904,055;1162749569;1,334733635;1,001281536;12646,63
twitter;PELLCAPPDELTA25;365213,85;68221272,28;1,330690533;0,998248378;1184,585
twitter;PELLCAPPDELTA30;250953,73;3285449,465;1,352844686;1,014865132;271,93
twitter;PELLCAPPDELTA35;249760,355;2358570,84;1,362432451;1,022057675;259,275
twitter;PELLCAPPDELTA40;251625,185;2349721,28;1,362432451;1,022057675;259,275
twitter;CAPPDELTA05;34369383,88;895464482,9;1,328158794;0,996346746;34666,77
twitter;CAPPDELTA10;17143718,82;1214066837;1,334564203;1,001152793;17803,465
twitter;CAPPDELTA15;16440694,32;1210521575;1,336724696;1,002774037;17433,02
twitter;CAPPDELTA20;8223094,975;1158632141;1,334733635;1,001281536;13209,05
twitter;CAPPDELTA25;577155,56;68231028;1,330690533;0,998248378;1747,005
twitter;CAPPDELTA30;454709,62;3279368,96;1,352844686;1,014865132;865,8
twitter;CAPPDELTA35;463143,305;2357721,64;1,362432451;1,022057675;853,145
twitter;CAPPDELTA40;454939,59;2358362,025;1,362432451;1,022057675;853,145
