dataset;algorithm;update;query;radius;ratio;memory
uber;JONES;6285,575;166427210,1;0,160047436;1;10000
uber;CHEN;4345,02;13287618500;0,179452543;1,123879861;10000
uber;PELLCAPPDELTA05;83417,495;1426074,415;0,156759121;0,981821283;2815,245
uber;PELLCAPPDELTA10;50454,65;900748,655;0,160563764;1,005745626;1795,565
uber;PELLCAPPDELTA15;41824,455;808865,425;0,164659355;1,031166355;1466,78
uber;PELLCAPPDELTA20;40076,105;694835,425;0,16898553;1,058224877;1263,135
uber;PELLCAPPDELTA25;37914,945;677111,835;0,209370229;1,310402784;1134,2
uber;PELLCAPPDELTA30;37119,68;628033,705;0,171351222;1,072925873;1039,375
uber;PELLCAPPDELTA35;34805,455;671593,225;0,239799074;1,501682298;1000,655
uber;PELLCAPPDELTA40;32914,935;657368,235;0,203403733;1,274321821;900,615
uber;CAPPDELTA05;40964,835;1335478,535;0,156759121;0,981821283;2809,505
uber;CAPPDELTA10;37214,425;863077,315;0,160563764;1,005745626;1821,215
uber;CAPPDELTA15;33456,175;792149,57;0,164659355;1,031166355;1492,43
uber;CAPPDELTA20;29887,605;690948,625;0,16898553;1,058224877;1288,77
uber;CAPPDELTA25;29376,46;667496,81;0,209370229;1,310402784;1159,81
uber;CAPPDELTA30;28459;619951,67;0,171351222;1,072925873;1096,335
uber;CAPPDELTA35;26830,755;659018,18;0,239799074;1,501682298;1057,615
uber;CAPPDELTA40;25577,72;650283,77;0,203403733;1,274321821;957,54
