type;algorithm;update;query;radius;ratio;memory
rand;JONES;12927,52;1696042764;1,662191443;1;30000
rand;CHEN;14093,045;49610479253;2,439772609;1,473363438;30000
rand;PELLCAPPDELTA05;1040966,46;1531427066;1,679491805;1,014182083;49913,115
rand;CAPPDELTA05;715975,95;1510542919;1,679491805;1,014182083;45095,56
rand;PELLCAPPDELTA10;600609,755;1145697848;1,68671937;1,018308316;33919,345
rand;CAPPDELTA10;323195,44;1147204027;1,68671937;1,018308316;29277,505
rand;PELLCAPPDELTA15;434435,015;694356197,5;1,662401186;1,00389121;24163,31
rand;CAPPDELTA15;169755,25;695663853,7;1,662401186;1,00389121;19521,47
rand;PELLCAPPDELTA20;383016,67;401383129,9;1,679591047;1,01448469;17225,9
rand;CAPPDELTA20;107625,97;401671970,6;1,679591047;1,01448469;12584,06
rand;PELLCAPPDELTA25;350013,505;192977340,6;1,632261573;0,985893523;14617,99
rand;CAPPDELTA25;92029,06;192860485,5;1,632261573;0,985893523;9976,15
rand;PELLCAPPDELTA30;317336,945;117554973,7;1,635782477;0,987429955;11219,38
rand;CAPPDELTA30;68789,21;117395359;1,635782477;0,987429955;6753,255
rand;PELLCAPPDELTA35;308626,555;51812036,05;1,685324889;1,017663377;9536,93
rand;CAPPDELTA35;59371,46;51660560,42;1,685324889;1,017663377;5070,805
rand;PELLCAPPDELTA40;312868,765;99287688,92;1,751243038;1,057616542;8444,065
rand;CAPPDELTA40;54682,12;99428197,68;1,751243038;1,057616542;3977,94
