type;algorithm;update;query;radius;ratio;memory
rand;JONES;13451,32;1670173313;5,144271292;1;30000
rand;CHEN;13569,66;1,54136E+11;5,887208175;1,150701143;30000
rand;PELLCAPPDELTA05;796510,915;871589920,3;5,035100302;0,983491231;39706,495
rand;CAPPDELTA05;634429,805;873242171,9;5,035100302;0,983491231;41340,73
rand;PELLCAPPDELTA10;350697,47;348429710,3;4,990989044;0,975415024;21212,515
rand;CAPPDELTA10;372537,99;348065585,9;4,990989044;0,975415024;23023,7
rand;PELLCAPPDELTA15;256850,7;189464726,1;5,427160905;1,060774002;14609,31
rand;CAPPDELTA15;315354,25;190216125,3;5,427160905;1,060774002;16420,495
rand;PELLCAPPDELTA20;222753,38;123124486,8;5,30060565;1,035961232;11200,415
rand;CAPPDELTA20;262982,39;123462041;5,30060565;1,035961232;13011,6
rand;PELLCAPPDELTA25;198480,485;88355164,81;5,220526415;1,020020685;9327,97
rand;CAPPDELTA25;248480,19;88526293,57;5,220526415;1,020020685;11139,155
rand;PELLCAPPDELTA30;174180,125;63476029,85;4,880303729;0,953396497;8030,915
rand;CAPPDELTA30;232075,595;63531335,33;4,880303729;0,953396497;10019,05
rand;PELLCAPPDELTA35;177247,005;59848279,08;5,40660064;1,056543963;7444,14
rand;CAPPDELTA35;225740,28;59893901,63;5,40660064;1,056543963;9432,275
rand;PELLCAPPDELTA40;171788,975;39793523,83;5,409378775;1,056540692;6568,01
rand;CAPPDELTA40;218126,395;39844520,69;5,409378775;1,056540692;8556,145
