type;algorithm;update;query;radius;ratio;memory
rand;JONES;7902,235;2039510467;0,046348327;1;30000
rand;CHEN;7935,695;1,24657E+11;0,048856351;1,055071365;30000
rand;PELLCAPPDELTA05;553809,655;96168312,79;0,046657425;1,007523547;32183,92
rand;CAPPDELTA05;322889,75;96071209,88;0,046657425;1,007523547;31219,285
rand;PELLCAPPDELTA10;291142,65;43983633,95;0,047620655;1,028241368;21836,97
rand;CAPPDELTA10;237977,41;43957207,33;0,047620655;1,028241368;21050,42
rand;PELLCAPPDELTA15;264536,55;27010369,99;0,047430661;1,024158311;16978,9
rand;CAPPDELTA15;195668,295;26956593,39;0,047430661;1,024158311;16192,35
rand;PELLCAPPDELTA20;241024,785;20765370,57;0,046165233;0,996828274;14687,095
rand;CAPPDELTA20;176912,075;20727040,92;0,046165233;0,996828274;13900,545
rand;PELLCAPPDELTA25;227772,04;17107431,66;0,04664083;1,007146351;13108,645
rand;CAPPDELTA25;173264,005;17074416,45;0,04664083;1,007146351;12322,095
rand;PELLCAPPDELTA30;220571,63;15153414,64;0,051514363;1,112441478;11990,195
rand;CAPPDELTA30;160988,415;15111933,38;0,051514363;1,112441478;11381,73
rand;PELLCAPPDELTA35;208850,61;15332822,19;0,052628947;1,136447215;11797,145
rand;CAPPDELTA35;152284,76;15282466,59;0,052628947;1,136447215;11188,68
rand;PELLCAPPDELTA40;200985,535;12946526,39;0,058733611;1,268257388;10939,155
rand;CAPPDELTA40;133176,185;12908235,94;0,058733611;1,268257388;10330,69
