k;algorithm;update;query;radius;ratio;memory
7;JONES;5485,53;153554597,9;11,67531116;1;10000
7;CHEN;5676,675;15497438333;12,77619581;1,099315221;10000
7;PELLCAPPDELTA05;92478,825;1191265,375;11,8270304;1,017904717;1676,445
7;CAPPDELTA05;55178,745;1108575,29;11,8270304;1,017904717;1847,435
7;PELLCAPPDELTA20;47517,14;1099369,84;11,8270304;1,017904717;1676,445
7;CAPPDELTA20;48562,37;1067080,905;11,8270304;1,017904717;1847,435
14;JONES;5502,735;175516078,9;9,295838771;1;10000
14;CHEN;4055,45;16066308995;9,404855031;1,015775817;10000
14;PELLCAPPDELTA05;81499,925;3044878,745;9,207416942;0,994795408;3153,2
14;CAPPDELTA05;72756,995;2946157,27;9,207416942;0,994795408;3465,815
14;PELLCAPPDELTA20;56875,45;2951009,89;9,207416942;0,994795408;3153,2
14;CAPPDELTA20;67557,9;2939598,935;9,207416942;0,994795408;3465,815
21;JONES;5595,61;181731754,4;7,795123203;1;10000
21;CHEN;5766,975;16395812450;8,344192559;1,074823327;10000
21;PELLCAPPDELTA05;128557,565;6077025,81;7,793325159;1,003727883;8924,075
21;CAPPDELTA05;129682,04;5990508,71;7,793325159;1,003727883;9374,765
21;PELLCAPPDELTA20;105046,865;5992539,45;7,793325159;1,003727883;8924,075
21;CAPPDELTA20;111443,15;5973739,02;7,793325159;1,003727883;9374,765
35;JONES;4894,36;212479045,8;6,55569801;1;10000
35;CHEN;3438,315;16321099759;7,517653695;1,15114246;10000
35;PELLCAPPDELTA05;185861,085;76168569,33;6,687306013;1,023406585;12548,315
35;CAPPDELTA05;198257,235;75976432,76;6,687306013;1,023406585;13239,71
35;PELLCAPPDELTA20;159221,245;76014902,91;6,687306013;1,023406585;12548,315
35;CAPPDELTA20;163954,985;75737081,06;6,687306013;1,023406585;13239,71
70;JONES;5628,545;286564331,6;5,175695144;1;10000
70;CHEN;3335,145;16405785174;5,764995185;1,11823851;10000
70;PELLCAPPDELTA05;318169,05;170635978,2;5,281346196;1,023817641;17280,865
70;CAPPDELTA05;272806,85;170718404,6;5,281346196;1,023817641;18542,895
70;PELLCAPPDELTA20;206006,765;170789090,3;5,281346196;1,023817641;17280,865
70;CAPPDELTA20;216815,92;170692920,1;5,281346196;1,023817641;18542,895
105;JONES;5643,96;499664777,9;4,517953473;1;10000
105;CHEN;3517,67;16563528881;5,328525745;1,187063677;10000
105;PELLCAPPDELTA05;387470,5;370930306,3;4,633416035;1,030556959;22342,515
105;CAPPDELTA05;344628,11;371280566,3;4,633416035;1,030556959;24018,085
105;PELLCAPPDELTA20;321293,21;371234600,4;4,633416035;1,030556959;22342,515
105;CAPPDELTA20;341162,545;370875030,4;4,633416035;1,030556959;24018,085
140;JONES;5149,145;786581604,8;3,893586812;1;10000
140;CHEN;3888,615;16592465991;4,51837068;1,165763175;10000
140;PELLCAPPDELTA05;511063,455;648610070,3;3,823573288;0,985421109;27577,965
140;CAPPDELTA05;406266,045;649218265,5;3,823573288;0,985421109;29682,23
140;PELLCAPPDELTA20;435515,845;649237827,3;3,823573288;0,985421109;27577,965
140;CAPPDELTA20;370268,005;648925066,5;3,823573288;0,985421109;29682,23
175;JONES;6200,925;1109327498;3,470666528;1;10000
175;CHEN;4814,83;16537704106;4,053793262;1,173326229;10000
175;PELLCAPPDELTA05;660862,57;967129935;3,435860922;0,994490563;34370,96
175;CAPPDELTA05;618340,68;967939698,1;3,435860922;0,994490563;36873,39
175;PELLCAPPDELTA20;598473,81;967174379,9;3,435860922;0,994490563;34370,96
175;CAPPDELTA20;594592,08;968466227,5;3,435860922;0,994490563;36873,39
