wsize;algorithm;update;query;radius;ratio;memory;;;;;;;;;;;;;
10000;JONES;6712,41;125612978,1;2,609941903;1;10000;;;;;;;;;;;;;
10000;CHEN;4149,94;6112393454;3,041224665;1,169163921;10000;;;;;;;;;;;;;
10000;PELLCAPPDELTA05;274358,3;12498674,74;2,52936999;0,973397313;8732,06;;;;;;;;;;;;;
10000;CAPPDELTA05;161638,01;12177834,54;2,52936999;0,973397313;8297,53;;;;;;;;;;;;;
20000;JONES;5665,47;879965180,8;2,760193029;1;20000;;;;;;;;;;;;;
20000;CHEN;4332,175;26381080486;2,814901343;1,022783605;20000;;;;;;;;;;;;;
20000;PELLCAPPDELTA05;272987,485;24276613,96;2,91436148;1,059009279;8932,25;;;;;;;;;;;;;
20000;CAPPDELTA05;109044,705;23967899,27;2,91436148;1,059009279;8516,115;;;;;;;;;;;;;
30000;JONES;6041,725;2219755509;2,804202603;1;30000;;;;;;;;;;;;;
30000;CHEN;6770,945;58902999154;2,898306224;1,036062701;30000;;;;;;;;;;;;;
30000;PELLCAPPDELTA05;365510,525;31650511,15;2,788302139;0,996932439;10257,95;;;;;;;;;;;;;
30000;CAPPDELTA05;117840,545;31209296,06;2,788302139;0,996932439;9904,15;;;;;;;;;;;;;
40000;JONES;4546,18;4314068764;2,818995236;1;40000;;;;;;;;;;;;;
40000;PELLCAPPDELTA05;187372,82;40230878,79;2,902356768;1,032662844;10447,865;;;;;;;;;;;;;
40000;CAPPDELTA05;135000,965;39599981,17;2,902356768;1,032662844;10012,73;;;;;;;;;;;;;
50000;JONES;5381,76;6984591605;2,885422137;1;50000;;;;;;;;;;;;;
50000;PELLCAPPDELTA05;230754,22;46893176,2;2,912333404;1,013146455;10667,52;;;;;;;;;;;;;
50000;CAPPDELTA05;105275,4;47095294,34;2,912333404;1,013146455;10186,25;;;;;;;;;;;;;
60000;JONES;5559,3;10919206652;2,899130438;1;60000;;;;;;;;;;;;;
60000;PELLCAPPDELTA05;195013,715;55622685,17;3,04539802;1,053871652;9920,735;;;;;;;;;;;;;
60000;CAPPDELTA05;165463,885;55598956,57;3,04539802;1,053871652;9556,745;;;;;;;;;;;;;
70000;JONES;5902,73;14700287783;3,050879841;1;70000;;;;;;;;;;;;;
70000;PELLCAPPDELTA05;157882,53;63303640,9;3,069171628;1,008056873;9874,51;;;;;;;;;;;;;
70000;CAPPDELTA05;126726,035;63189818,47;3,069171628;1,008056873;9596,695;;;;;;;;;;;;;
80000;JONES;7132,445;21410015092;3,040545808;1;80000;;;;;;;;;;;;;
80000;PELLCAPPDELTA05;202898,4;69319223,9;3,59568877;1,185223644;11891,6;;;;;;;;;;;;;
80000;CAPPDELTA05;145758,24;69490208,25;3,59568877;1,185223644;11496,035;;;;;;;;;;;;;
90000;JONES;9133,245;24949031594;3,081372641;1;90000;;;;;;;;;;;;;
90000;PELLCAPPDELTA05;188136,185;75685877,94;3,081977726;1,001657318;13004,15;;;;;;;;;;;;;
90000;CAPPDELTA05;174338,295;76405789,62;3,081977726;1,001657318;12613,75;;;;;;;;;;;;;
100000;JONES;8675,2;28778376528;3,093970929;1;100000;;;;;;;;;;;;;
100000;PELLCAPPDELTA05;202485,36;82918877,01;3,59589023;1,163990314;12395,265;;;;;;;;;;;;;
100000;CAPPDELTA05;153457,13;82784288,84;3,59589023;1,163990314;11954,95;;;;;;;;;;;;;
200000;JONES;10425,87;1,42831E+11;3,217715006;1;200000;;;;;;;;;;;;;
200000;PELLCAPPDELTA05;294726,995;136544053,2;3,044814501;0,94782233;13965,505;;;;;;;;;;;;;
200000;CAPPDELTA05;212383,915;136255804,4;3,044814501;0,94782233;13619,49;;;;;;;;;;;;;
500000;PELLCAPPDELTA05;479448,1;289926288,1;3,353156541;1;19951,38;;;;;;;;;;;;;
500000;CAPPDELTA05;357650,25;288843162,8;3,353156541;1;19643,185;;;;;;;;;;;;;
