wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;6878,68;136023935,6;2,175475783;1;10000
10000;CHEN;6979,225;6040442850;2,658030465;1,225973683;10000
10000;PELLCAPPDELTA05;364858,045;86134188,68;2,155214046;0,993761766;14476,145
10000;CAPPDELTA05;334119,635;84871107,18;2,155214046;0,993761766;13281,41
20000;JONES;5632,195;513307240,2;2,280387033;1;20000
20000;CHEN;6282,405;25841562124;2,689096664;1,181744786;20000
20000;PELLCAPPDELTA05;532405,59;60515612,01;2,432087534;1,068885746;22509,695
20000;CAPPDELTA05;365500,965;60223720,11;2,432087534;1,068885746;21303,375
30000;JONES;7453,805;2403042370;2,34692242;1;30000
30000;CHEN;7171,125;65033930232;2,566906175;1,096033106;30000
30000;PELLCAPPDELTA05;675164,38;76038712,07;2,297381905;0,981020333;28007,735
30000;CAPPDELTA05;285386,26;75876895,75;2,297381905;0,981020333;26851,915
40000;JONES;8099,475;2066990117;2,358974708;1;40000
40000;PELLCAPPDELTA05;389509,71;97239538,25;2,38282872;1,011705866;29365,27
40000;CAPPDELTA05;329406,915;97348744,29;2,38282872;1,011705866;28169,935
50000;JONES;7446,865;6101463899;2,369470156;1;50000
50000;PELLCAPPDELTA05;671814,105;119766882,2;2,342746639;0,991023726;34136,385
50000;CAPPDELTA05;411065,515;119356848,5;2,342746639;0,991023726;32855,505
60000;JONES;7221,07;9944040655;2,359157247;1;60000
60000;PELLCAPPDELTA05;791121,225;143834431,6;2,299450494;0,975972317;37804,08
60000;CAPPDELTA05;505756,855;145235710,3;2,299450494;0,975972317;36680,47
70000;JONES;6528,55;11553993703;2,42867755;1;70000
70000;PELLCAPPDELTA05;862861,32;163782081,4;2,350922073;0,969528355;38470,54
70000;CAPPDELTA05;679449,65;163279499;2,350922073;0,969528355;37665,435
80000;JONES;9235,91;14394626175;2,44351002;1;80000
80000;PELLCAPPDELTA05;543123,76;181858118,2;2,393429922;0,980768537;33664,755
80000;CAPPDELTA05;349673,26;181890159,2;2,393429922;0,980768537;32557,285
90000;JONES;9916,2;21516430202;2,479334669;1;90000
90000;PELLCAPPDELTA05;445941,95;195264906,1;2,532186716;1,022975751;31020,73
90000;CAPPDELTA05;330119,905;195263207,9;2,532186716;1,022975751;29923,495
100000;JONES;10448,45;26180301704;2,486680649;1;100000
100000;PELLCAPPDELTA05;546447,35;209291550,1;2,350939907;0,946820357;35255,635
100000;CAPPDELTA05;413829,315;209591572,2;2,350939907;0,946820357;33995,12
200000;JONES;13044,91;1,10924E+11;2,566629382;1;200000
200000;PELLCAPPDELTA05;776844,14;353836950,9;2,546039357;0,992892526;42818,27
200000;CAPPDELTA05;671793,59;352889722,3;2,546039357;0,992892526;41867,95
500000;PELLCAPPDELTA05;901411,755;775118135,4;2,696805292;1;49806,43
500000;CAPPDELTA05;851769,875;774080701,7;2,696805292;1;48908,205
