wsize;algorithm;update;query;radius;ratio;memory
10000;CHEN;5344.615;15857026663;6.912918993;1.087862;10000
20000;CHEN;5073.58;66665671038;6.581226682;0.960798426;20000
30000;CHEN;5143.455;1.64618E+11;6.634092443;0.952236203;30000
10000;JONES;3213.35;133544295.2;6.354591869;1;10000
20000;JONES;3550.515;687362812.7;6.849747569;1;20000
30000;JONES;3536.94;1002886552;6.966855932;1;30000
40000;JONES;2660.85;2675340337;6.967520358;1;40000
50000;JONES;4143.755;3706263574;7.843581767;1;50000
60000;JONES;3690.675;5690293960;9.03687573;1;60000
70000;JONES;3598.07;7349411782;8.991403615;1;70000
80000;JONES;4930.79;10006259921;8.988319006;1;80000
90000;JONES;6326.555;13792480500;8.987048099;1;90000
100000;JONES;6675.85;20795191416;8.987048099;1;100000
200000;JONES;7522.405;1.59978E+11;9.182778777;1;200000
10000;PELLCAPPDELTA05;22682.745;120053.685;5.797079552;0.912840517;1553.265
20000;PELLCAPPDELTA05;34614.965;144767.865;5.995818114;0.878032503;1961.265
30000;PELLCAPPDELTA05;32935.565;147397.46;6.35688361;0.914159805;2676.845
40000;PELLCAPPDELTA05;38470.695;147280.885;6.176539628;0.888245637;2888.315
50000;PELLCAPPDELTA05;40171.26;146710.03;7.292808235;0.932709975;3243.775
60000;PELLCAPPDELTA05;38092.23;172494.415;7.608928005;0.843916157;1902.96
70000;PELLCAPPDELTA05;77687.63;170421.55;8.838728451;0.983628626;1876.085
80000;PELLCAPPDELTA05;55791.67;196686.125;8.464940711;0.942303227;2526.005
90000;PELLCAPPDELTA05;58993.51;200574.515;8.74148291;0.973347284;2868.295
100000;PELLCAPPDELTA05;68087.485;225989.11;8.441911263;0.940020999;2976.63
200000;PELLCAPPDELTA05;100846.055;256960.895;7.967003912;0.869038755;3025.74
500000;PELLCAPPDELTA05;98506.395;390453.795;10.74865336;1;1511.04;
10000;CAPPDELTA05;39493.69;131927.03;5.797079552;0.912840517;1556.49
20000;CAPPDELTA05;67956.775;149471;5.995818114;0.878032503;1956.17
30000;CAPPDELTA05;52239.775;155691.675;6.35688361;0.914159805;2670.375
40000;CAPPDELTA05;162073.015;170807.59;6.176539628;0.888245637;2882.395
50000;CAPPDELTA05;82314.66;167373.62;7.292808235;0.932709975;3237.935
60000;CAPPDELTA05;52006.005;186692.015;7.608928005;0.843916157;1897.64
70000;CAPPDELTA05;86596.265;196038.595;8.838728451;0.983628626;1866.265
80000;CAPPDELTA05;150574.155;219089.775;8.464940711;0.942303227;2514.095
90000;CAPPDELTA05;79695.155;185687.985;8.74148291;0.973347284;2855.73
100000;CAPPDELTA05;101827.32;202962.92;8.441911263;0.940020999;2964.565
200000;CAPPDELTA05;106193.24;280583.69;7.967003912;0.869038755;3014.885
500000;CAPPDELTA05;85027.805;417116.73;10.74865336;1;1501.2
10000;PELLCAPPDELTA10;20475.39;96214.465;6.389265801;1.006202261;600.23
10000;PELLCAPPDELTA15;13734.915;110811.875;7.251737584;1.141983418;395.165
10000;PELLCAPPDELTA20;13988.545;93094.65;8.456310832;1.331569721;289.365
10000;PELLCAPPDELTA25;16756.34;91831.235;9.346284176;1.471777215;248.035
10000;PELLCAPPDELTA30;12048.255;95676.775;10.98086436;1.729505435;214.04
10000;PELLCAPPDELTA35;12917.42;79939.705;13.46874688;2.120883203;196.79
10000;PELLCAPPDELTA40;15188.6;76731.9;13.46874688;2.120883203;180.055
10000;CAPPDELTA10;24542.135;99550.56;6.389265801;1.006202261;615.42
10000;CAPPDELTA15;21767.445;98590.74;7.251737584;1.141983418;410.355
10000;CAPPDELTA20;20629.485;89751.91;8.456310832;1.331569721;304.555
10000;CAPPDELTA25;19804.65;90713.895;9.346284176;1.471777215;263.225
10000;CAPPDELTA30;18787.115;85135.725;10.98086436;1.729505435;241.195
10000;CAPPDELTA35;18325.81;73886.895;13.46874688;2.120883203;223.97
10000;CAPPDELTA40;17164.6;73422.575;13.46874688;2.120883203;207.225
