wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;5077,24;212240942,4;2,147683676;1;10000
10000;CHEN;4957,06;6881017089;2,659732949;1,242238707;10000
10000;PELLCAPPDELTA05;347234,57;87840817,59;2,126763728;0,993342013;14915,715
10000;CAPPDELTA05;155828,82;86743264,68;2,126763728;0,993342013;13616,335
20000;JONES;6577,925;1056758064;2,223576085;1;20000
20000;CHEN;4948,86;29203226555;2,688062278;1,213046601;20000
20000;PELLCAPPDELTA05;483178,925;61636582,09;2,321525509;1,047034382;22703,52
20000;CAPPDELTA05;238397,085;60758934,03;2,321525509;1,047034382;21385,27
30000;JONES;7753,95;1689565315;2,282142344;1;30000
30000;CHEN;5446,445;53385169090;2,47372453;1,086663054;30000
30000;PELLCAPPDELTA05;619332,165;76964124,62;2,291973537;1,006953964;29506,99
30000;CAPPDELTA05;363074,855;76879696,68;2,291973537;1,006953964;28221,705
40000;JONES;7391,865;4537494259;2,296498642;1;40000
40000;PELLCAPPDELTA05;290290,765;103008776,8;2,406402586;1,0497884;29716,71
40000;CAPPDELTA05;212828,905;102857275,9;2,406402586;1,0497884;28408,76
50000;JONES;9512,69;3973777691;2,33663537;1;50000
50000;PELLCAPPDELTA05;468290,485;119397581,2;2,342494087;1,004652925;35009,39
50000;CAPPDELTA05;312123,835;119411998,4;2,342494087;1,004652925;33616,465
60000;JONES;10004,125;7783557008;2,337090941;1;60000
60000;PELLCAPPDELTA05;446851,455;145957286,5;2,291557448;0,982214889;38112,43
60000;CAPPDELTA05;452670,24;145808866,7;2,291557448;0,982214889;36885,385
70000;JONES;9526,6;12782095587;2,384562854;1;70000
70000;PELLCAPPDELTA05;541519,615;165072607,2;2,243952689;0,942806017;38535,625
70000;CAPPDELTA05;466103,795;165074608,9;2,243952689;0,942806017;37626,83
80000;JONES;11225,24;17278027377;2,397917605;1;80000
80000;PELLCAPPDELTA05;574709,355;181712776,6;2,347793617;0,980577187;42027,995
80000;CAPPDELTA05;498391,85;181363204,9;2,347793617;0,980577187;40819,495
90000;JONES;10417,38;16500679870;2,434828701;1;90000
90000;PELLCAPPDELTA05;496650,07;198907789,4;2,446595305;1,006513332;41368,745
90000;CAPPDELTA05;487871,14;198996721,9;2,446595305;1,006513332;40158,47
100000;JONES;10495,535;20466325414;2,438206077;1;100000
100000;PELLCAPPDELTA05;501051,11;221661478,2;2,532186716;1,04023358;38482,77
100000;CAPPDELTA05;439561,895;221797245;2,532186716;1,04023358;37119,465
200000;JONES;12624,54;1,29987E+11;2,503602576;1;200000
200000;PELLCAPPDELTA05;801388,685;380418293,3;2,539424935;1,01564338;45725,795
200000;CAPPDELTA05;724475,595;382093788,3;2,539424935;1,01564338;44664,665
500000;PELLCAPPDELTA05;986182,085;831411397,5;2,60819917;1;51058,365
500000;CAPPDELTA05;936548,46;829353263,6;2,60819917;1;50072,605
