wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;8094,855;173858599,6;6,762354462;1;10000
10000;CHEN;5872,455;16162283805;7,668903421;1,140369131;10000
10000;PELLCAPPDELTA05;253239,295;64233454,53;6,967325781;1,034912005;11721,9
10000;CAPPDELTA05;180855,895;64015928,26;6,967325781;1,034912005;12329,365
20000;JONES;6793,71;1006269814;7,451102458;1;20000
20000;CHEN;4567,385;72594411723;8,109576004;1,091208157;20000
20000;PELLCAPPDELTA05;355761,425;145153539,6;7,763326097;1,044789846;17087,04
20000;CAPPDELTA05;303235,515;144037022,2;7,763326097;1,044789846;17688,955
30000;JONES;7938,7;2008157893;7,708665427;1;30000
30000;CHEN;3992,665;1,61726E+11;8,587311289;1,11939756;30000
30000;PELLCAPPDELTA05;412882,405;18554437,09;7,835086123;1,021113882;22440,075
30000;CAPPDELTA05;226573,01;18585159,43;7,835086123;1,021113882;23039,71
40000;JONES;4384,8;4506098698;8,741792269;1;40000
40000;PELLCAPPDELTA05;106690,34;22151189,75;8,758388378;1,015463323;23357,195
40000;CAPPDELTA05;252220,755;22170805,75;8,758388378;1,015463323;23950,09
50000;JONES;4607,265;7425746379;9,10905757;1;50000
50000;PELLCAPPDELTA05;103642,78;25540919,73;9,637737257;1,06857767;23035,045
50000;CAPPDELTA05;145866,3;25433443,36;9,637737257;1,06857767;23638,8
60000;JONES;4465,875;6640823208;8,946656857;1;60000
60000;PELLCAPPDELTA05;119882,57;28206404,41;8,851560191;0,993379344;17389,075
60000;CAPPDELTA05;104950,11;28397887,79;8,851560191;0,993379344;17986,27
70000;JONES;5692,545;13036508402;10,43438659;1;70000
70000;PELLCAPPDELTA05;116602,08;32012814,62;10,77833818;1,039733109;17374,93
70000;CAPPDELTA05;112016,505;31940148,58;10,77833818;1,039733109;18003,31
80000;JONES;5755,545;15427052852;10,32302773;1;80000
80000;PELLCAPPDELTA05;175704,63;33741342,13;10,20054472;0,991137405;18973,36
80000;CAPPDELTA05;129074,34;33696359,34;10,20054472;0,991137405;19588,18
90000;JONES;6318,25;23536742602;10,12820096;1;90000
90000;PELLCAPPDELTA05;200234,355;36312430,25;10,93737498;1,083132896;21680,62
90000;CAPPDELTA05;140208,495;36324148,01;10,93737498;1,083132896;22298,46
100000;JONES;6529,75;32208050492;9,645621726;1;100000
100000;PELLCAPPDELTA05;125736,275;35474468,34;10,08121099;1,054171996;18462,615
100000;CAPPDELTA05;133627,675;35430104,13;10,08121099;1,054171996;19091,48
200000;JONES;10588,975;1,29678E+11;10,3630788;1;200000
200000;PELLCAPPDELTA05;303790,71;44519494,6;10,08597662;0,975976295;23663,995
200000;CAPPDELTA05;261838,795;44446808,56;10,08597662;0,975976295;24294,46
500000;PELLCAPPDELTA05;461141,295;71154477,19;12,10741286;1;28844,645
500000;CAPPDELTA05;444602,055;71137300,34;12,10741286;1;29443,75
