wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;4415,06;146149773,6;0,095459072;1;10000
10000;CHEN;4247,48;13362155681;0,108918514;1,141066778;10000
10000;PELLCAPPDELTA05;131077,605;3924263,745;0,09532817;0,998656196;7714,63
10000;CAPPDELTA05;76538,855;3792281,83;0,09532817;0,998656196;7599,21
20000;JONES;3968,765;451054561,4;0,106560732;1;20000
20000;CHEN;3672,04;50887394476;0,115602878;1,087428282;20000
20000;PELLCAPPDELTA05;143210,68;4396486,235;0,104003426;0,97760057;7762,14
20000;CAPPDELTA05;76370,93;4288966,835;0,104003426;0,97760057;7722,32
30000;JONES;5694,405;964031395,4;0,121060802;1;30000
30000;CHEN;4201,145;1,13209E+11;0,116877592;0,973628158;30000
30000;PELLCAPPDELTA05;220706,75;5255398,53;0,14033319;1,168255006;8767,44
30000;CAPPDELTA05;99177,845;5202400,285;0,14033319;1,168255006;8515,84
40000;JONES;3895,68;3036779434;0,134676939;1;40000
40000;PELLCAPPDELTA05;61703,4;5976836,635;0,127593421;0,948791018;7989,86
40000;CAPPDELTA05;50586,9;5955119,485;0,127593421;0,948791018;7873,94
50000;JONES;3642,26;4544596448;0,127287855;1;50000
50000;PELLCAPPDELTA05;74500,275;6547603,665;0,125400701;0,986243395;8866,39
50000;CAPPDELTA05;90851,99;6517073,355;0,125400701;0,986243395;8706,06
60000;JONES;5148,925;6880248814;0,133374295;1;60000
60000;PELLCAPPDELTA05;71762,565;7091539,48;0,134943604;1,013723961;8675,34
60000;CAPPDELTA05;51056,37;7064843,79;0,134943604;1,013723961;8632,275
70000;JONES;4535,855;8366980885;0,133276403;1;70000
70000;PELLCAPPDELTA05;72044,84;7516913,295;0,1294682;0,972514541;9897,605
70000;CAPPDELTA05;52260,17;7464911,275;0,1294682;0,972514541;9781,845
80000;JONES;5853,68;10328553663;0,137180949;1;80000
80000;PELLCAPPDELTA05;74683,74;7695279,29;0,137300379;1,002107211;9584,3
80000;CAPPDELTA05;41069,125;7700597,7;0,137300379;1,002107211;9407,3
90000;JONES;5203,515;23001975394;0,139342369;1;90000
90000;PELLCAPPDELTA05;88459,875;8775723,815;0,137143116;0,985203861;10463,475
90000;CAPPDELTA05;64918,54;8728792,87;0,137143116;0,985203861;10284,485
100000;JONES;5119,59;20584670810;0,141265895;1;100000
100000;PELLCAPPDELTA05;118532,55;9291325,24;0,132257891;0,937593292;10783,53
100000;CAPPDELTA05;83672,645;9258771,91;0,132257891;0,937593292;10557,1
200000;JONES;9783,875;1,11689E+11;0,159325225;1;200000
200000;PELLCAPPDELTA05;165086,245;14033136,66;0,153082615;0,963212911;11139,715
200000;CAPPDELTA05;129325,285;13973596,7;0,153082615;0,963212911;10945,41
500000;PELLCAPPDELTA05;244541,045;27997232,25;0,192998778;1;12984,07
500000;CAPPDELTA05;214108,03;28047164,27;0,192998778;1;12791,46
