wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;5130,895;142457537;0,160047436;1;10000
10000;CHEN;4652,875;12571480835;0,179452543;1,123879861;10000
10000;PELLCAPPDELTA05;112396,265;1527881,26;0,156759121;0,981821283;2815,245
10000;CAPPDELTA05;55589,21;1372823,285;0,156759121;0,981821283;2809,505
20000;JONES;5005,65;618146046,3;0,184445837;1;20000
20000;CHEN;4039,35;52108860375;0,190839469;1,038250705;20000
20000;PELLCAPPDELTA05;93278,825;1701845,635;0,189101639;1,028251922;2939,99
20000;CAPPDELTA05;45739,295;1591440,045;0,189101639;1,028251922;2972,035
30000;JONES;6728,86;1352986852;0,20122259;1;30000
30000;CHEN;5827,955;1,17655E+11;0,192015987;0,954985877;30000
30000;PELLCAPPDELTA05;135184,36;1978034,78;0,199209124;0,990807457;3338,11
30000;CAPPDELTA05;53012,355;1886407,35;0,199209124;0,990807457;3292,61
40000;JONES;4468,545;2403256641;0,224935431;1;40000
40000;PELLCAPPDELTA05;45878,47;2375238,355;0,230612306;1,027120313;3421,955
40000;CAPPDELTA05;37204,545;2201490,09;0,230612306;1,027120313;3395,53
50000;JONES;5027,375;4270116344;0,224894007;1;50000
50000;PELLCAPPDELTA05;58768,44;2248298,74;0,228891966;1,019197007;3706,63
50000;CAPPDELTA05;38221,17;2305611,135;0,228891966;1,019197007;3680,39
60000;JONES;4103,145;6715298959;0,234133958;1;60000
60000;PELLCAPPDELTA05;42248,775;2609641,585;0,217877072;0,931384316;3905,555
60000;CAPPDELTA05;43448,605;2558490,87;0,217877072;0,931384316;3909,72
70000;JONES;5127,81;10400376809;0,230449134;1;70000
70000;PELLCAPPDELTA05;52769,085;2830498,045;0,217216329;0,944039386;3996,57
70000;CAPPDELTA05;49860,88;2844841,66;0,217216329;0,944039386;3984,135
80000;JONES;4884,255;14143279647;0,244995276;1;80000
80000;PELLCAPPDELTA05;49247,17;2892367,685;0,232086441;0,948288749;4106,81
80000;CAPPDELTA05;46044,775;2884654,24;0,232086441;0,948288749;4102,77
90000;JONES;6467,805;17953253967;0,244974009;1;90000
90000;PELLCAPPDELTA05;51961,21;3387242,01;0,231293947;0,945087874;4257,615
90000;CAPPDELTA05;48422,075;3197156,47;0,231293947;0,945087874;4237,635
100000;JONES;6513,115;22062614442;0,245083502;1;100000
100000;PELLCAPPDELTA05;66560,585;3378248,58;0,239602471;0,978378725;4433,675
100000;CAPPDELTA05;49564;3366114,73;0,239602471;0,978378725;4381,11
200000;JONES;10768,4;96439192531;0,264311679;1;200000
200000;PELLCAPPDELTA05;93430,93;1347853,575;0,262292029;0,992988213;5935,145
200000;CAPPDELTA05;78659,555;1346835,89;0,262292029;0,992988213;5894,445
500000;PELLCAPPDELTA05;156312,58;1863990,915;0,331780298;1;5734,705
500000;CAPPDELTA05;136063,555;1845220,135;0,331780298;1;5703,395
